"b_no_choice_a","b_mileage_a","b_range_pw1_a","b_range_pw2_a","b_range_pw3_a","b_loss_pw1_a","b_loss_pw2_a","b_loss_pw3_a","b_packreplace_a","b_cellreplace_a","b_price_a","b_no_choice_b","b_mileage_b","b_range_pw1_b","b_range_pw2_b","b_range_pw3_b","b_loss_pw1_b","b_loss_pw2_b","b_loss_pw3_b","b_packreplace_b","b_cellreplace_b","b_price_b","b_no_choice_c","b_mileage_c","b_range_pw1_c","b_range_pw2_c","b_range_pw3_c","b_loss_pw1_c","b_loss_pw2_c","b_loss_pw3_c","b_packreplace_c","b_cellreplace_c","b_price_c","delta_a","gamma_EV_rangeanxiety_a","gamma_risktaker_a","gamma_hhincome_a","gamma_ev_charge_a","gamma_knowledge_ev_a","gamma_evb_environment_agree_a","gamma_evb_function_disagree_a","gamma_hhveh_fuel_a","gamma_veh_range_a","gamma_suv_a","delta_b","gamma_EV_rangeanxiety_b","gamma_risktaker_b","gamma_hhincome_b","gamma_ev_charge_b","gamma_knowledge_ev_b","gamma_evb_environment_agree_b","gamma_evb_function_disagree_b","gamma_hhveh_fuel_b","gamma_veh_range_b","gamma_suv_b","logLike"
-0.78,-0.26,0.92,1.41,0.46,-0.12,-0.07,-0.08,-0.64,-0.64,-0.84,-4.51,-0.24,2.34,1.3,1.27,-0.14,-0.13,-0.07,-0.4,-0.34,-1.31,-3.86,-0.11,-0.01,-0.27,0.2,-0.03,-0.01,-0.02,-0.11,-0.17,-0.44,-2.14,0.77,-0.6,0.03,-0.43,0.14,-0.28,-0.62,0.59,0.36,0.35,-1.63,0.66,-0.25,0.04,-0.05,0.35,0.68,0.25,0.26,0.22,0.18,-17533.9610021322
-0.794647004307657,-0.254843251707499,0.927456699921458,1.40261070349573,0.464956683413805,-0.118335598149462,-0.0673546291709166,-0.0683444794518871,-0.610115260775196,-0.650877087533532,-0.839204248975595,-4.52438958569425,-0.237858721437719,2.34920325261566,1.29062174936089,1.26817290038577,-0.138653180566194,-0.129861313359689,-0.0721783610220742,-0.377602607053168,-0.335495178808743,-1.30581178429896,-3.90274651422608,-0.110471968301144,0.0314557021393509,-0.225210808263733,0.190791666754988,-0.026138927205729,-0.0101851119911641,-0.0227729467551654,-0.122189010835198,-0.186844514459803,-0.428664201703442,-2.16767728138169,0.731131814163728,-0.63640927536625,0.027399363967542,-0.441549165029239,0.122400752385176,-0.31294755977823,-0.644750846354701,0.564055316468091,0.347710692334182,0.34555164685599,-1.61043465532466,0.686012725977818,-0.251920413747676,0.0403017598504783,-0.0350160488839986,0.358520720852178,0.662020559909626,0.280117089385051,0.297955795027675,0.229853467561126,0.190683911269563,-17485.9287708934
-0.822300949106746,-0.242780317580984,0.931301226434536,1.32275549899808,0.472525233746425,-0.115463841957963,-0.0673259309541039,-0.0503446881194783,-0.579355536345698,-0.690119576186636,-0.84795902263613,-4.54065480850989,-0.236837660908316,2.35366989539947,1.23029362403446,1.26038581998116,-0.136326640037864,-0.129626925706062,-0.0779524064215515,-0.325056433273557,-0.311648220640405,-1.30130359920567,-3.94298211031415,-0.120159012596186,0.0992200871034445,-0.162242835962265,0.142228114639904,-0.0175216893202423,-0.011298791463776,-0.0276102493597672,-0.173913113333697,-0.24167097495672,-0.41346779873155,-2.16011725155796,0.701755071424951,-0.665493808236111,0.0265032710990277,-0.367763268333423,0.159786511543752,-0.349626592887201,-0.556593677161588,0.587933589170073,0.330660660824133,0.411084416102332,-1.59659712645964,0.708099825994563,-0.293171201329203,0.0354610885737097,-0.00640029673980708,0.333270905083647,0.539146535238915,0.323758173633977,0.375560329876761,0.250628639098372,0.197194849124735,-17455.0810340401
-1.02690328730071,-0.212880858059438,0.908300254064195,1.02908211084393,0.596926068626752,-0.101104811194069,-0.0774077743339785,-0.0187123030610445,-0.579745906010767,-0.751507569410943,-0.91945705307089,-4.62306386876447,-0.234853345977281,2.34395278459306,1.09779409866192,1.25300006732108,-0.133593397615211,-0.129813303947757,-0.0857475580014243,-0.218244061621339,-0.235804961242781,-1.30123151621673,-4.00360002608927,-0.135420761582946,0.187473177575063,-0.0658633266791098,0.0864533714010326,-0.00375446468487529,-0.0152025659299585,-0.028788674835066,-0.294314423301756,-0.356228202473032,-0.382477501734319,-2.01257034658291,0.631589115813725,-0.774413045671884,0.013570705474014,-0.234459230336491,0.237382021738612,-0.436913154976247,-0.379512696726459,0.744317005054288,0.288425971737061,0.45594423519727,-1.59677305084966,0.719977882451246,-0.374997374999311,0.0175724044255524,0.107418636556426,0.288784302023885,0.35078870555812,0.421919160182263,0.56430961885318,0.289060509041168,0.225823620360787,-17423.1041981997
-1.41133220684771,-0.211665740283416,0.803183829220459,0.955527030769009,0.694218128650521,-0.0981295322153399,-0.0814532175607366,-0.0165453979912923,-0.618103735192749,-0.770922188144184,-1.00896011499008,-4.73921925718997,-0.235992053868604,2.31915916761475,1.05980536321655,1.249775396521,-0.134833138630375,-0.129774692729048,-0.0865138382555763,-0.18156978584252,-0.202591097810206,-1.31212729643609,-3.9823804761544,-0.137721251071645,0.195200839197224,-0.0650971474018382,0.0963534191731735,-0.00188744888886216,-0.0156227282188549,-0.0287866228978328,-0.345619231940409,-0.405103153435678,-0.360668471769351,-1.80862795049001,0.592749473894157,-0.795744888683271,0.0073923417517551,-0.195992607879605,0.23422343058855,-0.433616467752662,-0.344974028475092,0.783186884708906,0.264900557423885,0.390128319052677,-1.55004074451399,0.687525672869651,-0.403498943632349,0.0111754328525106,0.158597227108126,0.27518262845441,0.337700349040484,0.441147395740629,0.619674615786924,0.293452517873878,0.211802056395385,-17415.6350781191
-1.61991618056467,-0.199510133467346,0.744698319391787,0.899804257973739,0.7631424979061,-0.096091714340727,-0.0820924100557412,-0.0138908538568523,-0.635616723515216,-0.757434521409874,-1.07548707004056,-4.87043963105877,-0.237751140092298,2.28844882434214,1.04640159865869,1.24625710009985,-0.136095691947259,-0.130011410423312,-0.0860314381485487,-0.160683606282948,-0.18152423792269,-1.32754062978648,-3.938862737832,-0.137098537351961,0.17757535850023,-0.0765331252748211,0.119277924603658,-0.00250816285582006,-0.0156793606654222,-0.0280313076934561,-0.380849171992544,-0.438214762617438,-0.338894342732714,-1.70127156253208,0.595327402411773,-0.811361487230888,0.00446887121990987,-0.192307246811922,0.231240867634736,-0.388401614917418,-0.361916649276324,0.800777029597913,0.258020771699346,0.318630187839628,-1.51772322485623,0.665219975326117,-0.42540104409442,0.00838350001006805,0.179650330830586,0.269902993499777,0.37955114832251,0.445719688443306,0.645047153017806,0.28944057727313,0.179246007682274,-17412.0452090523
-1.67247916645516,-0.196430159981711,0.757587061108009,0.883248156938752,0.786461017424559,-0.0956266844166088,-0.0809135958611182,-0.0154695054401211,-0.639894466162453,-0.743926495697929,-1.10662210685356,-4.94712659265201,-0.238518179183387,2.2671486559884,1.0520138982148,1.24364002414075,-0.136614117026433,-0.130149347162569,-0.0851025299974848,-0.157132262335508,-0.176451652290941,-1.33726902011065,-3.91111891788108,-0.135064436695073,0.153743876137238,-0.0869334310867352,0.137492396583982,-0.00393753763699997,-0.0155785448098047,-0.0272331385695006,-0.389385845988627,-0.446446649994477,-0.327538578522997,-1.69439966055087,0.614783789163749,-0.807163178985046,0.00449096097967958,-0.205095856820017,0.2321378811932,-0.339820258225811,-0.351163936340791,0.79978968607793,0.259242227781367,0.269723102780959,-1.51161614307549,0.661535767271294,-0.429284085449605,0.00904887538131699,0.173631188642174,0.266713818757431,0.4217122974775,0.444793995720905,0.645584434660398,0.284695000454321,0.153531118800353,-17411.0253094593
-1.64133610612964,-0.193263934206827,0.798083542746681,0.879108499969436,0.788358152033893,-0.0959777044654336,-0.0794742818172438,-0.016590917315926,-0.635010281620944,-0.729193129103338,-1.11717240339064,-4.99266078462088,-0.238965732417642,2.25350141796006,1.05981794302118,1.24159435075843,-0.136813020127435,-0.130187153192649,-0.0844839765980143,-0.158322725031689,-0.176851268363786,-1.34292039429089,-3.90073516966614,-0.133475672609326,0.134876303751045,-0.0929453074130638,0.148991750047305,-0.00507128329712694,-0.0154387111903268,-0.0267050079330151,-0.389354753689947,-0.446666725836644,-0.322115503416305,-1.7052576409104,0.62648588522726,-0.805784844464811,0.00491900782772085,-0.219098663031358,0.23077222090797,-0.315200634507448,-0.350161936724487,0.795099739888803,0.264494258487875,0.250008043843858,-1.50952448284012,0.662374061576826,-0.428429453431929,0.0101212850738967,0.162874594676117,0.263842891499604,0.448122309974435,0.443427943737481,0.642347875638235,0.281234628131319,0.137972870071253,-17410.7030162732
-1.60482850485012,-0.193181189276027,0.833139330173677,0.880119778508816,0.783469902617276,-0.0963940927312026,-0.0790276781836047,-0.0174959257416425,-0.631424175471511,-0.724125629144069,-1.11767597453957,-5.00834281244521,-0.239059658786852,2.24769094784454,1.06440258287486,1.24054646125522,-0.136793827752457,-0.130169308526931,-0.0842355563240653,-0.160089838026339,-0.178364963386871,-1.34443106971645,-3.89685880359365,-0.13276664383987,0.127272724586046,-0.0948767520367738,0.153139326277821,-0.00542711304417681,-0.0153668831451544,-0.0264940766048373,-0.386463025773087,-0.44409608650207,-0.320721732077068,-1.72046376661731,0.632006717599738,-0.804432550383838,0.00533502995317044,-0.223017154176061,0.23001532835832,-0.306663465934441,-0.342546811584662,0.793196103877093,0.267609436552104,0.246204138503239,-1.511749264116,0.664518504242853,-0.426440415849221,0.0107333090488631,0.158026425587768,0.26284996347891,0.455751488461738,0.442657810791047,0.640003321069508,0.28062868999195,0.133432067940371,-17410.6211016694
-1.57225547820031,-0.193156679700434,0.858834377196594,0.881745320933592,0.77808603707852,-0.0967116731049788,-0.079042191237628,-0.0178712220476292,-0.628574328196324,-0.721776031044959,-1.11496131869497,-5.01374009471667,-0.239071469099582,2.24488228649544,1.06671062851084,1.23990223443767,-0.136728579404899,-0.130149581638047,-0.0841788543154288,-0.16118030703857,-0.179574707780621,-1.34440618587801,-3.89436548107999,-0.132581419097143,0.12537677660242,-0.0953928621702532,0.154183752354064,-0.0054846466532148,-0.015279012571045,-0.026455017426974,-0.384191262141643,-0.44199280676977,-0.320565679626416,-1.72856143427145,0.632322910904067,-0.804422233683076,0.00552953840115722,-0.223617756682246,0.229100272946485,-0.307152615120818,-0.340732971278165,0.793260203535778,0.269626806109692,0.248814496734617,-1.51145193746767,0.665290085279852,-0.424798818945473,0.010957940530555,0.156051881688077,0.262098248372103,0.455805189674138,0.441687571745598,0.639318759042694,0.280573451549794,0.132982776161651,-17410.5927902093
