"b_no_choice_a","b_mileage_a","b_range_pw1_a","b_range_pw2_a","b_range_pw3_a","b_loss_pw1_a","b_loss_pw2_a","b_loss_pw3_a","b_packreplace_a","b_cellreplace_a","b_price_a","b_no_choice_b","b_mileage_b","b_range_pw1_b","b_range_pw2_b","b_range_pw3_b","b_loss_pw1_b","b_loss_pw2_b","b_loss_pw3_b","b_packreplace_b","b_cellreplace_b","b_price_b","delta_a","gamma_EV_rangeanxiety_a","gamma_risktaker_a","gamma_hhincome_a","gamma_ev_charge_a","gamma_knowledge_ev_a","gamma_evb_environment_agree_a","gamma_evb_function_disagree_a","gamma_hhveh_fuel_a","gamma_veh_range_a","gamma_suv_a","logLike"
0.0829612086992711,0.0874150826595724,-0.0427720930427313,0.0660895252134651,0.0283491037786007,0.00381918982602655,0.0473176629282534,-0.0730666805524379,0.0313984580803663,0.0410129568073899,-0.00845164475031197,0.0438224503304809,0.0869344494305551,-0.0489142351318151,-0.00754143549129367,0.0880029045511037,0.0956452856771648,-0.0765025276690722,-0.00500058368779718,0.0120665492489934,0.0808062774594873,-0.0722579664550722,0.0977783457841724,0.089333646511659,-0.0835124883800745,0.00284235686995089,-0.0219593065790832,0.0811476261820644,-0.0106060743797571,0.0672008519992232,0.0475191235542297,0.0622110282536596,-0.022378343436867,-23891.8026526289
0.0874113589170597,0.0725330684383795,-0.0286085083851096,0.105595639046618,0.0831817877977364,-0.000263382790782696,0.039051542258215,-0.0873115987699327,-0.0220732668027965,-0.0561027316298712,-0.0341552656955646,-0.067093607642631,0.0718515044878163,0.0751215498258075,0.157853041619143,0.151051753468038,0.0912232404627181,-0.0809248245192322,-0.0167931030137654,0.0239873170588345,0.0474275358952905,-0.103551637989763,-0.119607580465597,-0.116267011567241,-0.217363849620032,-0.0102862618633504,-0.208231790998602,-0.0679822805018669,-0.203996341840043,-0.0797300759085096,-0.132536178995459,-0.000253895012192348,-0.0995949659680703,-22729.9027446146
-0.132528476346564,0.00765469307880823,0.17038277454971,0.210477565465683,0.248759183313029,-0.00559652099134609,0.0121428430195982,-0.0476448111754718,-0.274922447754306,-0.328609577268302,-0.144646135021294,-0.975483317843038,0.0120632321620718,0.436517564494822,0.24951472963875,0.259713929264656,0.0556976370135337,-0.0796404040014491,-0.0321483549190356,-0.0101115887100373,-0.033858955887632,-0.28221750607124,-0.505138799098571,-0.17265216313023,-0.245547022033544,-0.00871889044758167,-0.207730365191489,0.0330967839476069,-0.0664766581461234,-0.046818863812074,-0.0692353759817658,-0.076861189985061,0.260147047203666,-21040.2440415602
-0.275758743446723,-0.108763228044996,0.556883706913045,0.637878493635593,0.584520928507356,0.0588100561110398,-0.111738689220364,-0.0618170595193247,-0.693927270711659,-0.694884907333246,-0.48795610404209,-4.09165178789196,-0.124379152292887,1.20766815864785,0.471321583161222,0.553020660599705,-0.0549731584711908,-0.0740325940937231,-0.042413296110453,-0.109697553940748,-0.19603820777183,-0.690725573380005,-1.18001514182768,0.0951350644563934,-0.336984896176406,-0.00592588660965804,-0.2553205042021,0.215884227148185,-0.0997309478676204,-0.271938819751008,-0.00736027421182747,-0.0409874109609505,0.323248538578294,-18581.2374750901
-0.456613078022991,-0.142666520237844,0.773572432916087,0.945306611592828,0.829892719444675,0.0422715271827419,-0.16588152194796,-0.068813748936217,-0.868436173531388,-0.87414419523649,-0.732120662747821,-5.54863140556952,-0.219472408862694,1.61117556046646,0.596493940114184,0.792114856141891,-0.110158669250124,-0.0762689620158827,-0.0523651103965066,-0.233138767867165,-0.296509114202011,-0.928638662921328,-1.45957771615281,0.261980855135466,-0.49590895063902,-0.00535830126631491,-0.311540221274176,0.202306191834085,-0.232687704092245,-0.519036866183083,0.0261273850037047,-0.00874105697479632,0.060089509520085,-18342.426242756
-0.983471859367833,-0.161555990876727,0.935493477286307,0.936574512704158,0.891351389342713,-0.031409465263896,-0.123670197149348,-0.0574487907391502,-0.787139235238751,-0.866216878295997,-0.834027043731601,-4.75792775607405,-0.18913013775596,1.40491592878462,0.584645259621586,0.760915389445518,-0.0825590081632801,-0.0831840351806157,-0.0517469637273324,-0.211224190401269,-0.245950215626777,-0.858714576727228,-1.05280559530305,0.170851085726954,-0.516286350283022,-0.003228893211463,-0.291632474248321,0.140112919521587,-0.416733760567144,-0.667850638202402,0.10932796789174,0.0142273847136212,-0.00825303921066681,-18074.6232962797
-1.3150830330493,-0.179620445199491,1.06427153921246,0.93614184034547,0.926699873095667,-0.078977627055198,-0.0950397066296772,-0.0441358411451114,-0.705906736955161,-0.819749596011424,-0.938404169482504,-4.56009637311605,-0.182514325030294,1.31762554952103,0.567902690794445,0.745837679653146,-0.0801578010709539,-0.0812559349111066,-0.0517160019807517,-0.212935019815626,-0.245298303516764,-0.828930271548563,-1.05652931702219,0.146265857212364,-0.537577146415546,0.000694578295432275,-0.301375957768407,0.117435336990859,-0.49973681847358,-0.694736635703605,0.202484716446618,0.0418122331519351,0.0257150214202483,-17986.2909643567
-1.41580881778891,-0.191097638098732,1.11810645686564,0.916793120145303,0.927049729782609,-0.0912495778059342,-0.0866934311017472,-0.0370839241679845,-0.653614722151857,-0.76153224317411,-1.01428949554204,-4.49636940056778,-0.180419824033158,1.27963188225628,0.556538838376056,0.738264858337294,-0.0792358660896138,-0.080271146128348,-0.0513408319404709,-0.220201673071017,-0.250298814548684,-0.81688626403486,-1.15086008124861,0.175474996536353,-0.54536208854195,0.00193588421233404,-0.308348893329766,0.110800636073499,-0.518806980878507,-0.642436436125575,0.245159780136372,0.0613274459761485,0.0643501034304218,-17951.2876428164
-1.50968895331751,-0.198257769807969,1.1810924614673,0.847273370135054,0.911939158619411,-0.105237877569771,-0.076738257686205,-0.0291466255538748,-0.565478015067439,-0.660433756823856,-1.13171590925439,-4.36943242422538,-0.176916802925857,1.22261892006795,0.538693973069477,0.725678959665509,-0.0770291168667013,-0.0792950073060132,-0.0507506203491764,-0.231322331740982,-0.260073195521271,-0.802268121015407,-1.30033112191829,0.200556872091783,-0.556848963204464,4.99168200098724e-05,-0.320427830933771,0.0846750532045617,-0.57785525502397,-0.606188701777257,0.329443095920677,0.092170317436386,0.117127019603052,-17924.2264292567
-1.55383268150385,-0.197284472710527,1.18835197890284,0.807566858448912,0.89336563325099,-0.107371298575059,-0.0772354689231506,-0.0270994992725322,-0.553705631859796,-0.64127933605409,-1.18941660151434,-4.32483086403678,-0.176682512716381,1.21297445642582,0.531944288968668,0.721419523948443,-0.076819148091731,-0.0790534735710596,-0.0507655658392704,-0.236036760293752,-0.264981387783173,-0.804561246757199,-1.36980377182168,0.211068780947391,-0.546459438740948,-0.00099192409021383,-0.318207846519516,0.0766585807085487,-0.595791323664289,-0.593395063665294,0.366392525606224,0.0935537080493177,0.12442144344047,-17919.6293488572
