,Estimate,Std.err.,t-ratio(0),p(2-sided),Rob.std.err.,Rob.t-ratio(0),Rob.p-val(0)
b_no_choice_a,-5.24,0.64,-8.20,0.00,1.08,-4.86,0.00
b_powertrainbev_a,-4.10,0.91,-4.50,0.00,1.73,-2.37,0.02
b_powertrainhev_a,-2.09,0.27,-7.77,0.00,0.54,-3.88,0.00
b_range_bev_a,0.27,0.60,0.46,0.65,0.90,0.30,0.76
b_mileage_a,-0.27,0.07,-4.03,0.00,0.09,-2.98,0.00
b_age_a,-0.04,0.04,-1.16,0.25,0.06,-0.77,0.44
b_operating_cost_a,-0.59,0.29,-2.05,0.04,0.47,-1.26,0.21
b_price_a,-1.30,0.19,-6.69,0.00,0.38,-3.43,0.00
b_no_choice_b,-7.23,0.64,-11.30,0.00,1.03,-7.01,0.00
b_powertrainbev_b,0.17,0.34,0.51,0.61,0.52,0.34,0.74
b_powertrainhev_b,1.10,0.21,5.14,0.00,0.37,3.00,0.00
b_range_bev_b,0.88,0.21,4.25,0.00,0.35,2.50,0.01
b_mileage_b,-0.23,0.06,-3.97,0.00,0.10,-2.28,0.02
b_age_b,-0.11,0.03,-3.73,0.00,0.04,-2.68,0.01
b_operating_cost_b,-1.29,0.22,-5.89,0.00,0.31,-4.22,0.00
b_price_b,-1.57,0.17,-9.07,0.00,0.34,-4.68,0.00
b_no_choice_c,-7.71,0.56,-13.80,0.00,1.04,-7.43,0.00
b_powertrainbev_c,-2.98,0.52,-5.74,0.00,1.30,-2.29,0.02
b_powertrainhev_c,-0.02,0.16,-0.13,0.90,0.31,-0.07,0.95
b_range_bev_c,0.47,0.22,2.13,0.03,0.41,1.13,0.26
b_mileage_c,-0.27,0.04,-5.98,0.00,0.08,-3.33,0.00
b_age_c,-0.11,0.02,-4.55,0.00,0.04,-2.74,0.01
b_operating_cost_c,-0.86,0.18,-4.76,0.00,0.29,-2.92,0.00
b_price_c,-1.19,0.11,-10.48,0.00,0.23,-5.26,0.00
delta_a,0.00,NA,NA,NA,NA,NA,NA
gamma_EV_benefit_a,0.00,NA,NA,NA,NA,NA,NA
gamma_EV_anxiety_a,0.00,NA,NA,NA,NA,NA,NA
gamma_hhincome_a,0.00,NA,NA,NA,NA,NA,NA
gamma_ev_charge_a,0.00,NA,NA,NA,NA,NA,NA
gamma_ev_neighbor_a,0.00,NA,NA,NA,NA,NA,NA
gamma_knowledge_ev_a,0.00,NA,NA,NA,NA,NA,NA
gamma_knowledge_subsidy_a,0.00,NA,NA,NA,NA,NA,NA
gamma_veh_count_a,0.00,NA,NA,NA,NA,NA,NA
gamma_veh_has_bev_a,0.00,NA,NA,NA,NA,NA,NA
gamma_veh_refuel_a,0.00,NA,NA,NA,NA,NA,NA
gamma_veh_range_a,0.00,NA,NA,NA,NA,NA,NA
delta_b,-1.51,0.68,-2.21,0.03,0.92,-1.64,0.10
gamma_EV_benefit_b,1.57,0.30,5.20,0.00,0.58,2.71,0.01
gamma_EV_anxiety_b,-0.55,0.19,-2.98,0.00,0.28,-1.95,0.05
gamma_hhincome_b,0.04,0.03,1.07,0.29,0.04,1.00,0.32
gamma_ev_charge_b,0.14,0.40,0.34,0.74,0.44,0.31,0.76
gamma_ev_neighbor_b,0.41,0.42,0.99,0.32,0.50,0.83,0.41
gamma_knowledge_ev_b,-0.61,0.44,-1.40,0.16,0.46,-1.33,0.18
gamma_knowledge_subsidy_b,0.71,0.49,1.43,0.15,0.60,1.19,0.24
gamma_veh_count_b,0.00,NA,NA,NA,NA,NA,NA
gamma_veh_has_bev_b,0.00,NA,NA,NA,NA,NA,NA
gamma_veh_refuel_b,0.04,0.06,0.77,0.44,0.06,0.68,0.50
gamma_veh_range_b,0.36,0.17,2.05,0.04,0.20,1.78,0.07
delta_c,-0.11,0.55,-0.21,0.84,0.74,-0.15,0.88
gamma_EV_benefit_c,0.38,0.15,2.48,0.01,0.22,1.75,0.08
gamma_EV_anxiety_c,-0.11,0.14,-0.80,0.42,0.22,-0.51,0.61
gamma_ev_charge_c,0.08,0.36,0.22,0.82,0.38,0.21,0.84
gamma_hhincome_c,0.02,0.03,0.78,0.43,0.04,0.57,0.57
gamma_ev_neighbor_c,0.35,0.37,0.94,0.35,0.41,0.84,0.40
gamma_knowledge_ev_c,-0.54,0.35,-1.52,0.13,0.44,-1.23,0.22
gamma_knowledge_subsidy_c,0.48,0.46,1.04,0.30,0.59,0.82,0.41
gamma_veh_count_c,0.00,NA,NA,NA,NA,NA,NA
gamma_veh_has_bev_c,0.00,NA,NA,NA,NA,NA,NA
gamma_veh_refuel_c,0.06,0.04,1.36,0.17,0.06,1.07,0.28
gamma_veh_range_c,0.26,0.15,1.76,0.08,0.16,1.57,0.12
